L01	0	0	1	1	1	1	1	1	CF	CF	CF	CF	CF	CF	CF	CF	CF	CF	0	0	0	0	0	0	P1
L02	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L03	0	0	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	0	0	0	0	0	0	P1
L04	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	BD	BD	0	0	0	0	0	0	P1
L05	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L06	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L07	0	0	1	1	1	1	1	1	1	1	1	1	3	1	1	1	0	0	0	0	0	0	0	0	P1
L08	0	0	1	1	1	1	1	1	1	1	1	1	1	1	6	1	0	0	0	0	0	0	0	0	P1
L09	0	0	1	1	1	1	1	1	1	1	1	1	3	1	1	1	0	0	0	0	0	0	0	0	P1
L10	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L11	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L12	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P1
L13	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L14	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L15	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L16	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L17	0	0	1	1	1	1	1	1	1	1	1	1	1	21	21	21	21	21	0	0	0	0	0	0	P2
L18	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L19	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L20	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L21	0	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L22	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L23	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L24	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P2
L25	0	0	1	1	1	1	1	1	1	1	6	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L26	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L27	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L28	0	0	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	0	0	0	0	0	0	P3
L29	0	0	1	1	1	1	1	3	3	QI	QI	QI	QI	QI	QI	0	0	0	0	0	0	0	0	0	P3
L30	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L31	0	0	1	1	1	1	1	1	1	1	1	1	1	1	7	1	0	0	0	0	0	0	0	0	P3
L32	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	CP	0	0	0	0	0	0	P3
L33	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	P3
L34	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L35	0	0	1	1	6	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L36	0	0	CP	CP	BD	3	6	1	1	1	6	1	1	1	1	1	0	0	0	0	0	0	0	0	P3
L37	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L46	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L38	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L39	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L40	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L41	0	0	1	1	1	1	1	1	1	BD	BD	0	1	1	1	1	0	0	0	0	0	0	0	0	P4
L42	0	0	1	1	1	MW	MW	MW	MW	MW	MW	MW	MW	MW	MW	MW	MW	MW	0	0	0	0	0	0	P4
L43	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L44	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L45	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L47	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
L48	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	P4
